Dialogue_ID,Utterance_ID,Utterance,Speaker,Emotion
13,41,"Snap, snap, snap.  You know you are like a little adder.",James,anger
72,38,"No, it isn't.",Jennifer,anger
92,57,Okay.  Fine.  So green and what?,Michael,neutral
11,94,"Augie, I'm sorry.",Mary,sadness
46,0,"Uhm, I don't know",John,frustration
85,43,Not like that you're not.,Jennifer,happiness
66,56,"Every time I reach out for something I have to pull back because other people will suffer. My whole entire life, time and time after time.",Robert,sadness
60,13,"Joe's gone. -where did he go, you know?",Jennifer,excited
65,20,"Sir, I'm very sorry, but this is the way it is.  This- We have no control over it.  It's going to take-  -but you have to be patient with us.  You can use a calling card.  We will give you a free calling card to use.",Jennifer,neutral
99,35,You above all have got to believe.  You.,Linda,frustration
77,33,"Sir, Please please, I would ask you to just calm down for a second--",Jennifer,frustration
55,29,All right. I've been trying to work this backwards but I cannot seem to pinpoint the moment that we took a turn for the worst.,John,frustration
42,78,"Listen?  Listen, indeed.  I am sick and tired of listening to you, damn sadistic bully.",Patricia,anger
53,2,It's all right.  It's a good thing.,Patricia,happiness
26,37,"Mmhmm If I must laugh at everything, I must laugh at us too.",Mary,happiness
28,42,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?",John,frustration
78,47,"Wow.  This has never happened before.  I've not lost,",Robert,anger
54,67,It's ridiculous.,Patricia,frustration
31,34,"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",John,neutral
70,13,"Look, it's-we just-we're looking at this evening in a different way, both of us. We both have different ideas of it.",Jennifer,frustration
47,6,"Actually I'm looking here at the information, the flight that you were on we had some trouble with some of the baggage, it looks like a few peoples' bags didn't make it through. Um, so-",Patricia,neutral
57,79,Very amusing indeed.,John,anger
59,20,"God, we're supposed to take a look at a house next week.",Robert,frustration
68,26,I-I love you. I have no imagination. That's all I know how to tell it.,Robert,happiness
50,38,"Uh, I mean have you been shopping around on the Internet and stuff? I mean that you gave-",John,neutral
91,51,Fine.,Linda,sadness
17,0,You seem kind of down.,Mary,neutral
61,19,Time is passing by. Every year it's,Jennifer,frustration
40,53,No.,Patricia,frustration
52,5,"What do you mean? He lived next door to the girl all his life, why wouldn't he want to see her again?",John,frustration
13,27,Don't be stupid.,Mary,anger
24,27,I wonder if they can hear me talk,Mary,happiness
38,59,"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",John,sadness
12,46,Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,James,happiness
3,36,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",Mary,frustration
39,15,"Right, of course.  Our flashlight.  Mine and yours.  I mean, me flashlight is su flashlight naturally.",John,neutral
30,32,That's great.  Yeah.,John,neutral
35,2,Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,John,frustration
51,72,What about the business? What is this?,Patricia,anger
57,23,It just seems so silly to go on and on and on with such a thing.,Patricia,neutral
32,1,"Um, okay, it didn't--didn't come out on the carrousel--",John,neutral
25,49,I'd rather not remember some things.  I'd rather not hope for some things.,Mary,sadness
3,6,Uh huh.,James,neutral
23,57,"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",James,sadness
93,60,What's my problem?  What's my problem? I don't have a job.,Linda,anger
47,37,you don't realize the stuff that I've got in that - I really need to get the suitcase okay,John,anger
82,44,Yes.  You just tell them Brent Backersen sent you.,Robert,neutral
89,62,"On the contrary, a child of two can get violently drunk off just one glass of brandy.",Jennifer,anger
90,21,Okay.  What is it that I did wrong on the form that I have to start all over again?,Linda,anger
45,37,"Oh, my Gosh, that's so cute.",Patricia,excited
50,4,"it leads you around in circles, you can't, there is no way to like get to a real person if you don't already know how to get to there.",Patricia,excited
14,43,Okay.,James,frustration
68,13,"Well, you've been embarrassed ever since I came.",Jennifer,sadness
81,31,That's ridiculous.  You know?,Jennifer,frustration
76,74,"Like, wow you're really smart we're going to give you an extra [GARBAGE].",Robert,happiness
61,25,What would you do- What would you do if you didn't? You can go to law school.,Robert,neutral
96,12,That's amazing.  Wow.,Michael,excited
42,45,They snap.,John,frustration
4,0,Hi.,Mary,frustration
11,33,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",James,neutral
21,9,No.  I figured I'd just let it wait.,James,sadness
54,59,"Just all as one. This little time sensitive firecracker, instinctual firecracker in their body just went off and all as one they turned and formed a line as long the California coast and started swimming. They're swimming right now as if that's the only thing that matters.",John,excited
9,5,"I'm not sorry, no. But I'm...I can't stay.",Mary,neutral
41,32,"Well, shall we always want to bicker and fight?",Patricia,neutral
31,6,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--",Patricia,frustration
44,26,"and it'll work out you know, go there and do that. Yeah, I'll be back",John,neutral
95,13,"He was only twenty four and just so many things that we were going to do, you know, and now he won't get to do them and he won't get to be here when I do.  You know, like I'll get married some day and he won't be there, like, he won't get to see that.",Linda,sadness
55,89,"Augie, I'm sorry.",Patricia,sadness
62,21,What? There- There's hundreds of thousands of dollars worth of stuff in there.,Jennifer,anger
18,32,--arriving any time soon.,Mary,neutral
16,33,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",James,excited
43,43,Right. So maybe you should go home now and get your paperwork and come back.,Patricia,frustration
89,1,"Oh, come on, you knew there was nothing in that.",Jennifer,neutral
64,31,"We're not twenty one yet, but whatever.",Jennifer,neutral
93,2,I just don't think I can do this anymore.  It's been a really long time and it's not like I'm not trying.,Linda,frustration
82,22,Okay.  How about this we'll send you a brand new camera phone with palm pilot-- and-,Robert,neutral
96,72,"I don't know I just thought that, you know, maybe we could, you know, I don't know.  It's like, you know, just test the waters anyway.  I don't see what the problem is.",Michael,excited
14,26,You're very helpful.  What's your name?,James,frustration
13,79,You're not.,James,anger
25,30,No we won't.  It's pointless it's like a waiting up to see Santa Claus.,Mary,anger
6,9,"I don't know.  I spend so much time commuting as it is, I'd rather.",Mary,excited
74,69,yeah.,Jennifer,sadness
56,31,"No, that desire will fade along with our passion.",John,sadness
23,1,"Yeah, that kind of went out of style didn't it?",James,happiness
24,37,That's my point too.,James,neutral
33,18,"He was so young, you know.  And all the stories he used to tell me about...",Patricia,sadness
3,63,I- I-I didn't-- okay.,James,neutral
18,53,That's too bad.,Mary,neutral
27,81,This is the end do you hear me?  Finally and forever.,Mary,anger
97,43,"Alright, sir. Sir.  I'm going to transfer you to the address.",Linda,frustration
43,26,"I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again.",Patricia,frustration
94,4,Where?  Did you do it at the front desk or by the baggage claims?,Michael,frustration
63,52,I'm sure he loved you too. He just didn't know it.,Robert,sadness
34,9,"Wow, that's...",John,excited
42,24,You can hardly call three liquor glasses in a whole evening going on and on and on.,John,frustration
78,18,"Like the luggage, the luggage on the flight.",Jennifer,neutral
5,20,Yeah.,James,sadness
41,52,"Yes, I know you did.  You threw it out of the window into the Grand Canal.  I don't think I'll ever forgive you for that.",Patricia,happiness
54,11,Who's is it?,John,frustration
85,71,"cause you can take those things out of the war.  But you got to know, when you drive that car that it came out of the love that a man can have for a man and you got to be a little bit better because of that.",Robert,sadness
66,96,You can't do that.,Jennifer,frustration
21,73,"Yes, yes I like it for one hour a day.  I don't care if I have to grub for money all day long when I come home I want it nice, I want a family, I want to kids and Annie is in the center of that.",James,anger
55,50,Get married again?,John,neutral
77,49,"Yes.  Well, because--",Jennifer,neutral
54,38,"Pass up what? These little fish swim onto the beach flop around and swim away, and then they die.",Patricia,frustration
9,60,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",James,sadness
79,39,I'm so sorry.,Jennifer,sadness
36,75,The business?  The business doesn't inspire me.,John,anger
2,49,"We renamed Brenda, Lumber Janet.",Mary,happiness
28,21,I can't.,John,frustration
49,15,"Oh my Gosh. I thought there was like, maybe going to be some, like I don't know if you are going to get in or not, so I'm really glad that you did.",Patricia,excited
42,86,I am.  Let go of me.  You're a cruel fiend and I hate and loathe you.,Patricia,anger
87,10,I thought you wanted to see it.,Robert,frustration
72,61,Do shut up. Shut up.,Jennifer,frustration
97,5,"Yes, I did and that didn't- I got through to, like, one operator and she sent me to like three others",Michael,frustration
67,38,I can't help it.,Jennifer,sadness
65,41,A day?,Jennifer,neutral
43,16,three hours and,John,anger
66,37,You know.,Robert,neutral
19,12,You've been taking care of it all?,Mary,sadness
94,43,"Okay.  Well I want to call whoever you report to, whoever your boss is because I have had enough with this airline and I am finished waiting for my fifty dollar gift certificate.",Linda,anger
80,29,So...,Robert,excited
13,46,"Yes I did, quite a lot.",Mary,anger
40,35,"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",Patricia,sadness
30,53,"Oh, yes.  This is the whole [GARBAGE]",John,excited
73,38,who will proceed to call-- security if you can't remove yourself--,Jennifer,frustration
39,32,No. No. That's not my point.  The point is there's no point in coming down if we just leave.  Don't you want to see it?,John,neutral
3,60,Who do you think you are?,Mary,anger
90,42,You're testing my goddamn patience.,Michael,anger
20,17,Thank you.,James,excited
25,84,Yeah?,James,sadness
83,49,From your father's point of view he is still alive and if you try and take her that's just not fair.  You can't do that.,Jennifer,frustration
48,8,"She was with- yeah  She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.",John,sadness
69,1,Look at the night we got; couldn't be better.,Robert,excited
50,53,if you're ever online or anything like that I mean just make sure it's a secure site and,John,neutral
91,32,"You're not making this any easier for me, you know.  I'm the one who has to go and you're really not helping.",Linda,frustration
14,16,It's really simple if you have a problem with it... Maybe you should--,Mary,anger
89,15,"Oh, that's a nice point of view I must say.",Robert,anger
93,12,Look bananas don't grow overnight.  Okay.,Michael,neutral
64,24,oh yeah.,Robert,neutral
15,39,Run away?,James,sadness
45,40,"Oh yes, they - they you know they love her and so I mean...",John,happiness
91,20,And now- and now it's really shitty timing but now I have to go.,Linda,sadness
81,48,"Well, okay I'm going to give you a free phone card that you can use at any payphone and that's on us. Okay?",Robert,neutral
48,32,Then she's gone.,John,sadness
61,43,Yeah,Jennifer,sadness
96,61,No.  An I got accepted to U.S.C. party. [LAUGHTER],Linda,excited
57,53,"No restraint at all, very enjoyable, never had much anyhow.",John,anger
25,25,Why not?,James,frustration
6,5,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",James,excited
12,14,What shall we do if they suddenly walk in on us.[LAUGHTER],James,happiness
33,0,"Hey, a what's up?",John,neutral
7,2,He saw it.,James,neutral
73,12,No I can't just transfer it myself sir.  You got to do this.  Everyone else is doing the same thing.,Jennifer,frustration
51,41,I'm just saying,Patricia,frustration
87,41,Wait a minute.  I've got it.,Robert,neutral
72,72,Turn it on.,Jennifer,anger
63,14,He's so young. It seems so--,Jennifer,sadness
19,37,It leaves a hole for you too.,Mary,neutral
94,11,it's not like it just disappeared into thin air. Somebody wasn't paying attention,Linda,anger
16,43,"Oh yeah, absolutely, absolutely.",Mary,neutral
43,29,This is ridiculous. Come on,John,frustration
34,7,"Yeah, I think, I mean because where else would I gonna go?  Like the other places that I applied to I really didn't like that much anyway.",Patricia,excited
22,8,Oh so what?,James,frustration
92,85,I'm so- all the blood,Michael,excited
21,61,"Do you know what that'll do to you, to your father, do you know?  I don't.",Mary,anger
10,25,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",James,excited
79,23,How are they?,Jennifer,sadness
41,43,"Come and kiss me, darling, before your body rots and worms pop in and out of your eye sockets.",John,excited
34,37,That'll be awesome.,John,happiness
55,45,No.,Patricia,sadness
37,13,"Now, listen Kate.",John,neutral
77,46,What?,Robert,anger
87,95,Or not.,Jennifer,happiness
27,37,Well it's a woman's duty to allure the man. Watch me a minute will you?,Mary,anger
26,40,We are figures of fun all right,James,happiness
2,47,Awesome.,James,excited
28,34,"I really need this done today.  As you can see, the deadline is almost up and I can't come back.",Patricia,frustration
79,20,his girlfriend got killed too.,Robert,sadness
54,20,"Oh, a six-pack, that's, should've brought a -- a six-pack be just the ticket right now. How could I forget,",John,excited
78,30,Did you have your name tags on the luggage?,Jennifer,neutral
36,59,I just don't see why it has to be Annie.,Patricia,frustration
87,5,"It's PR.  I mean, somebody sold you a good bill about this wonderful event that going to happen on the beach.",Jennifer,anger
98,38,What do you want me to do?  You're old enough to know your own mind.,Linda,anger
97,10,"Sir, can- can you tell me which branch you went to.  We can start there.",Linda,neutral
92,19,So pretty.,Linda,excited
18,64,You know I don't need to take this sort of abuse.,Mary,frustration
42,88,I wouldn't-- I wouldn't marry--,John,anger
19,5,[BREATHING] Umm.,James,sadness
65,54,"Oh, my God.",Robert,frustration
86,54,"Look, is that...no is that just seaweed?",Robert,excited
66,20,"What do you mean, dishonest?",Jennifer,neutral
74,58,"Joe I'm serious I don't want to have to have a little girl to tell...asking every day where's daddy, where's daddy and have to tell her that he's away--",Jennifer,sadness
40,20,"Well, we'll see them this year.",John,neutral
80,26,Did you say yes yet?  I mean have you sent in your answer?,Jennifer,happiness
13,50,I think I am not in the least bit drunk.,James,anger
25,17,I'm sorry it still just fish to me.,Mary,frustration
76,50,"Oh yeah.  I will be a full time receptionist.  Harvard degree, sixteen hundred on my S.A.T.--",Robert,frustration
96,118,I just said the library,Michael,neutral
20,1,Yeah.,Mary,neutral
64,21,"Yeah, I know, my mom called me. I was with my girlfriend in Boston, and uh- she got the letter and she called me, she said I don't know, do you want me to open it? And I was like yes, open it. And she opened it and she goes oh, I'm sorry, Nat.",Jennifer,excited
70,64,"You know what you get? The jokes on us, baby. Because do you know what you get? Huh? Carla? Do you know what you get? You get this.",Robert,frustration
58,13,It's not right.,Robert,frustration
91,24,I mean we can't-we're not a complete family without you here.,Michael,sadness
68,51,No. What is it? Is it your mother?,Jennifer,sadness
48,7,"Oh, man. I'm so sorry.",Patricia,sadness
83,44,Oh see then it's just not my business. God you infuriate me sometimes.  Isn't my business too if dad throws a fit?  Huh?  God you have such a talent for ignoring things.,Robert,anger
49,57,"I'm-I'm looking forward to that. [BREATHING] man, So yeah, I think I'm going to come out a little early so I mean I'll give you a call and we'll definitely-",John,excited
18,8,"There's no need for you to raise your voice, sir.",Mary,neutral
67,39,What have I got to hide?,Robert,anger
87,67,Cause everything isn't anything like I thought it would be.,Jennifer,anger
44,17,"I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.",John,sadness
11,83,"I don't know, it seemed like such a good spot to me.",James,frustration
98,57,The trouble is you don't see enough women.  You never did.,Linda,frustration
66,40,"Well, that's only your business, Chris.",Jennifer,neutral
65,36,"Okay, so you think you're going to-  -get me back some minutes, and that's going to make up for three days of business that I lost?  Okay, great.",Robert,frustration
60,3,"Oh, Jesus.",Robert,excited
86,6,"Oh, you know what I forgot?  I forgot my flashlight.  How could I be so stupid?  I should've brought my flashlight.",Robert,excited
46,18,You are persistence. I mean that's important. that's,Patricia,neutral
29,22,...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.,John,frustration
27,54,"You're quite insufferable, I expect it's because you're drunk.",Mary,anger
77,22,And what are you going to do about it?  You going to call someone?  You going to send me somewhere else?,Robert,anger
34,59,A U.S.C. graduate now. You're set.,John,excited
55,26,"I did want to see them, I always do. I mean I keep thinking that this is going to be the time and it never is.",Patricia,anger
78,50,Okay sir.  I'm sorry you can--um-,Jennifer,frustration
54,39,"Yea, but that moment on the beach is the highlight of their little lives. I mean all that flopping is laying eggs or what do you, mating or spotting or something like that.",John,excited
79,37,It's so fucked up.,Robert,sadness
41,19,It's true.  The whole business is a very poor joke.,Patricia,happiness
21,38,You know it's not just my business.,James,frustration
2,27,Like you need another one of those.[LAUGHTER],James,happiness
26,19,With perfect poise...,James,happiness
59,1,Yeah?,Jennifer,neutral
15,18,[BREATHING],Mary,frustration
70,2,About what I was just saying.,Robert,neutral
24,69,It's like urgency that's pure urge you know.  It's single-mindedness with no mind.,James,excited
68,30,"I've been ready for a long, long time.",Jennifer,happiness
91,45,Then go.  We'll be here when you get back.,Michael,frustration
13,28,"Really, Amanda.",James,anger
40,42,"Okay, yeah, sure, I see it now.  Listen, you wanna dance?",John,neutral
52,11,What's going on here Joe?,Patricia,anger
74,39,You could.  You really could.  You could-- --get into another line of work.  I could start working after Anna's born?,Jennifer,frustration
1,17,things just aren't what they seem.,Mary,sadness
35,11,"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",Patricia,neutral
30,24,"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--",Patricia,excited
12,49,"Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you.",Mary,happiness
96,99,Are you going to take out loans or-,Michael,neutral
76,32,"To be a lawyer?  You go to law school now?  God this is, all these dead ends.",Robert,frustration
8,15,"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",Mary,anger
32,15,"Yes, yes, I would like to file a claim, but what are you gonna--I mean, is it just gonna show up magically out of nowhere?",Patricia,frustration
70,94,"I'm sorry, Augie.",Jennifer,sadness
